Days elapsed,Bag,Treatment,E. huxleyi per mL,Extracellular EhVs per mL,#,Days elapsed,Bag,Treatment,Intracellular EhVs (relative MCP transcripts),#,Bag,Treatment,Days elapsed,EhV GSLs (relative units),Sytox (RFU),#
9.75,5,Redfield nutrients,36335,884250,#,,,,,#,,,,,,#
10,5,Redfield nutrients,45112,587774,#,,,,,#,,,,,,#
10.25,5,Redfield nutrients,55321,358789,#,,,,,#,,,,,,#
10.5,5,Redfield nutrients,67442,719924,#,,,,,#,,,,,,#
11,5,Redfield nutrients,69311,712687,#,,,,,#,,,,,,#
11.25,5,Redfield nutrients,110823,499373,#,,,,,#,,,,,,#
11.5,5,Redfield nutrients,101511,909175,#,,,,,#,,,,,,#
11.75,5,Redfield nutrients,86492,1687095,#,,,,,#,,,,,,#
12,5,Redfield nutrients,106920,1098431,#,,,,,#,,,,,,#
12.25,5,Redfield nutrients,119428,900396,#,,,,,#,,,,,,#
12.5,5,Redfield nutrients,134144,1506631,#,,,,,#,,,,,,#
12.75,5,Redfield nutrients,129585,,#,,,,,#,,,,,,#
13,5,Redfield nutrients,132285,1252703,#,,,,,#,,,,,,#
13.25,5,Redfield nutrients,132331,2085992,#,,,,,#,,,,,,#
13.5,5,Redfield nutrients,141487,2326751,#,,,,,#,,,,,,#
13.75,5,Redfield nutrients,151405,5875235,#,,,,,#,,,,,,#
14,5,Redfield nutrients,144011,1550205,#,,,,,#,,,,,,#
14.25,5,Redfield nutrients,133585,3630139,#,,,,,#,,,,,,#
14.5,5,Redfield nutrients,152210,5232425,#,,,,,#,,,,,,#
14.75,5,Redfield nutrients,149520,5167802,#,,,,,#,,,,,,#
15,5,Redfield nutrients,157184,3071051,#,,,,,#,,,,,,#
15.25,5,Redfield nutrients,122898,10212167,#,,,,,#,,,,,,#
15.5,5,Redfield nutrients,128572,13285179,#,,,,,#,,,,,,#
15.75,5,Redfield nutrients,115418,17636317,#,,,,,#,,,,,,#
16,5,Redfield nutrients,106697,7435383,#,,,,,#,,,,,,#
16.25,5,Redfield nutrients,92558,24066419,#,,,,,#,,,,,,#
16.5,5,Redfield nutrients,87388,24533091,#,,,,,#,,,,,,#
16.75,5,Redfield nutrients,54723,,#,,,,,#,,,,,,#
17,5,Redfield nutrients,35431,21307349,#,,,,,#,,,,,,#
17.25,5,Redfield nutrients,16904,14171589,#,,,,,#,,,,,,#
